,run_id,Time,State,Fraction
0,0,0.0,S,0.91
1,0,0.0,E,0.09
2,0,0.0,I1,0.0
3,0,0.0,I2,0.0
4,0,0.0,I3,0.0
5,0,0.0,R,0.0
6,0,0.0,D,0.0
7,0,0.0,I_total,0.0
8,0,1.0101010101010102,S,0.9
9,0,1.0101010101010102,E,0.08
10,0,1.0101010101010102,I1,0.02
11,0,1.0101010101010102,I2,0.0
12,0,1.0101010101010102,I3,0.0
13,0,1.0101010101010102,R,0.0
14,0,1.0101010101010102,D,0.0
15,0,1.0101010101010102,I_total,0.02
16,0,2.0202020202020203,S,0.88
17,0,2.0202020202020203,E,0.09
18,0,2.0202020202020203,I1,0.03
19,0,2.0202020202020203,I2,0.0
20,0,2.0202020202020203,I3,0.0
21,0,2.0202020202020203,R,0.0
22,0,2.0202020202020203,D,0.0
23,0,2.0202020202020203,I_total,0.03
24,0,3.0303030303030303,S,0.88
25,0,3.0303030303030303,E,0.08
26,0,3.0303030303030303,I1,0.03
27,0,3.0303030303030303,I2,0.0
28,0,3.0303030303030303,I3,0.0
29,0,3.0303030303030303,R,0.01
30,0,3.0303030303030303,D,0.0
31,0,3.0303030303030303,I_total,0.03
32,0,4.040404040404041,S,0.87
33,0,4.040404040404041,E,0.08
34,0,4.040404040404041,I1,0.03
35,0,4.040404040404041,I2,0.01
36,0,4.040404040404041,I3,0.0
37,0,4.040404040404041,R,0.01
38,0,4.040404040404041,D,0.0
39,0,4.040404040404041,I_total,0.04
40,0,5.050505050505051,S,0.86
41,0,5.050505050505051,E,0.09
42,0,5.050505050505051,I1,0.02
43,0,5.050505050505051,I2,0.01
44,0,5.050505050505051,I3,0.0
45,0,5.050505050505051,R,0.02
46,0,5.050505050505051,D,0.0
47,0,5.050505050505051,I_total,0.03
48,0,6.0606060606060606,S,0.84
49,0,6.0606060606060606,E,0.07
50,0,6.0606060606060606,I1,0.06
51,0,6.0606060606060606,I2,0.01
52,0,6.0606060606060606,I3,0.0
53,0,6.0606060606060606,R,0.02
54,0,6.0606060606060606,D,0.0
55,0,6.0606060606060606,I_total,0.07
56,0,7.070707070707071,S,0.82
57,0,7.070707070707071,E,0.07
58,0,7.070707070707071,I1,0.08
59,0,7.070707070707071,I2,0.01
60,0,7.070707070707071,I3,0.0
61,0,7.070707070707071,R,0.02
62,0,7.070707070707071,D,0.0
63,0,7.070707070707071,I_total,0.09
64,0,8.080808080808081,S,0.82
65,0,8.080808080808081,E,0.07
66,0,8.080808080808081,I1,0.08
67,0,8.080808080808081,I2,0.01
68,0,8.080808080808081,I3,0.0
69,0,8.080808080808081,R,0.02
70,0,8.080808080808081,D,0.0
71,0,8.080808080808081,I_total,0.09
72,0,9.090909090909092,S,0.79
73,0,9.090909090909092,E,0.09
74,0,9.090909090909092,I1,0.08
75,0,9.090909090909092,I2,0.01
76,0,9.090909090909092,I3,0.0
77,0,9.090909090909092,R,0.03
78,0,9.090909090909092,D,0.0
79,0,9.090909090909092,I_total,0.09
80,0,10.101010101010102,S,0.78
81,0,10.101010101010102,E,0.07
82,0,10.101010101010102,I1,0.1
83,0,10.101010101010102,I2,0.01
84,0,10.101010101010102,I3,0.0
85,0,10.101010101010102,R,0.04
86,0,10.101010101010102,D,0.0
87,0,10.101010101010102,I_total,0.11
88,0,11.111111111111112,S,0.74
89,0,11.111111111111112,E,0.1
90,0,11.111111111111112,I1,0.07
91,0,11.111111111111112,I2,0.02
92,0,11.111111111111112,I3,0.0
93,0,11.111111111111112,R,0.07
94,0,11.111111111111112,D,0.0
95,0,11.111111111111112,I_total,0.09
96,0,12.121212121212121,S,0.74
97,0,12.121212121212121,E,0.08
98,0,12.121212121212121,I1,0.09
99,0,12.121212121212121,I2,0.02
100,0,12.121212121212121,I3,0.0
101,0,12.121212121212121,R,0.07
102,0,12.121212121212121,D,0.0
103,0,12.121212121212121,I_total,0.11
104,0,13.131313131313131,S,0.72
105,0,13.131313131313131,E,0.07
106,0,13.131313131313131,I1,0.11
107,0,13.131313131313131,I2,0.02
108,0,13.131313131313131,I3,0.0
109,0,13.131313131313131,R,0.08
110,0,13.131313131313131,D,0.0
111,0,13.131313131313131,I_total,0.13
112,0,14.141414141414142,S,0.7
113,0,14.141414141414142,E,0.05
114,0,14.141414141414142,I1,0.11
115,0,14.141414141414142,I2,0.02
116,0,14.141414141414142,I3,0.0
117,0,14.141414141414142,R,0.12
118,0,14.141414141414142,D,0.0
119,0,14.141414141414142,I_total,0.13
120,0,15.151515151515152,S,0.64
121,0,15.151515151515152,E,0.07
122,0,15.151515151515152,I1,0.12
123,0,15.151515151515152,I2,0.01
124,0,15.151515151515152,I3,0.0
125,0,15.151515151515152,R,0.16
126,0,15.151515151515152,D,0.0
127,0,15.151515151515152,I_total,0.13
128,0,16.161616161616163,S,0.61
129,0,16.161616161616163,E,0.08
