,run_id,Time,State,Fraction
0,0,0.0,S,0.83
1,0,0.0,E,0.17
2,0,0.0,I1,0.0
3,0,0.0,I2,0.0
4,0,0.0,I3,0.0
5,0,0.0,R,0.0
6,0,0.0,D,0.0
7,0,0.0,I_total,0.0
8,0,1.0101010101010102,S,0.8
9,0,1.0101010101010102,E,0.15
10,0,1.0101010101010102,I1,0.05
11,0,1.0101010101010102,I2,0.0
12,0,1.0101010101010102,I3,0.0
13,0,1.0101010101010102,R,0.0
14,0,1.0101010101010102,D,0.0
15,0,1.0101010101010102,I_total,0.05
16,0,2.0202020202020203,S,0.8
17,0,2.0202020202020203,E,0.13
18,0,2.0202020202020203,I1,0.07
19,0,2.0202020202020203,I2,0.0
20,0,2.0202020202020203,I3,0.0
21,0,2.0202020202020203,R,0.0
22,0,2.0202020202020203,D,0.0
23,0,2.0202020202020203,I_total,0.07
24,0,3.0303030303030303,S,0.8
25,0,3.0303030303030303,E,0.11
26,0,3.0303030303030303,I1,0.06
27,0,3.0303030303030303,I2,0.01
28,0,3.0303030303030303,I3,0.0
29,0,3.0303030303030303,R,0.02
30,0,3.0303030303030303,D,0.0
31,0,3.0303030303030303,I_total,0.07
32,0,4.040404040404041,S,0.76
33,0,4.040404040404041,E,0.09
34,0,4.040404040404041,I1,0.11
35,0,4.040404040404041,I2,0.01
36,0,4.040404040404041,I3,0.0
37,0,4.040404040404041,R,0.03
38,0,4.040404040404041,D,0.0
39,0,4.040404040404041,I_total,0.12
40,0,5.050505050505051,S,0.75
41,0,5.050505050505051,E,0.07
42,0,5.050505050505051,I1,0.11
43,0,5.050505050505051,I2,0.0
44,0,5.050505050505051,I3,0.0
45,0,5.050505050505051,R,0.07
46,0,5.050505050505051,D,0.0
47,0,5.050505050505051,I_total,0.11
48,0,6.0606060606060606,S,0.72
49,0,6.0606060606060606,E,0.08
50,0,6.0606060606060606,I1,0.12
51,0,6.0606060606060606,I2,0.0
52,0,6.0606060606060606,I3,0.0
53,0,6.0606060606060606,R,0.08
54,0,6.0606060606060606,D,0.0
55,0,6.0606060606060606,I_total,0.12
56,0,7.070707070707071,S,0.7
57,0,7.070707070707071,E,0.09
58,0,7.070707070707071,I1,0.12
59,0,7.070707070707071,I2,0.0
60,0,7.070707070707071,I3,0.0
61,0,7.070707070707071,R,0.09
62,0,7.070707070707071,D,0.0
63,0,7.070707070707071,I_total,0.12
64,0,8.080808080808081,S,0.66
65,0,8.080808080808081,E,0.11
66,0,8.080808080808081,I1,0.13
67,0,8.080808080808081,I2,0.0
68,0,8.080808080808081,I3,0.0
69,0,8.080808080808081,R,0.1
70,0,8.080808080808081,D,0.0
71,0,8.080808080808081,I_total,0.13
72,0,9.090909090909092,S,0.6
73,0,9.090909090909092,E,0.15
74,0,9.090909090909092,I1,0.13
75,0,9.090909090909092,I2,0.0
76,0,9.090909090909092,I3,0.0
77,0,9.090909090909092,R,0.12
78,0,9.090909090909092,D,0.0
79,0,9.090909090909092,I_total,0.13
80,0,10.101010101010102,S,0.55
81,0,10.101010101010102,E,0.17
82,0,10.101010101010102,I1,0.14
83,0,10.101010101010102,I2,0.01
84,0,10.101010101010102,I3,0.0
85,0,10.101010101010102,R,0.13
86,0,10.101010101010102,D,0.0
87,0,10.101010101010102,I_total,0.15
88,0,11.111111111111112,S,0.51
89,0,11.111111111111112,E,0.15
90,0,11.111111111111112,I1,0.17
91,0,11.111111111111112,I2,0.02
92,0,11.111111111111112,I3,0.0
93,0,11.111111111111112,R,0.15
94,0,11.111111111111112,D,0.0
95,0,11.111111111111112,I_total,0.19
96,0,12.121212121212121,S,0.47
97,0,12.121212121212121,E,0.18
98,0,12.121212121212121,I1,0.17
99,0,12.121212121212121,I2,0.02
100,0,12.121212121212121,I3,0.0
101,0,12.121212121212121,R,0.16
102,0,12.121212121212121,D,0.0
103,0,12.121212121212121,I_total,0.19
104,0,13.131313131313131,S,0.44
105,0,13.131313131313131,E,0.16
106,0,13.131313131313131,I1,0.19
107,0,13.131313131313131,I2,0.04
108,0,13.131313131313131,I3,0.0
109,0,13.131313131313131,R,0.17
110,0,13.131313131313131,D,0.0
111,0,13.131313131313131,I_total,0.23
112,0,14.141414141414142,S,0.4
113,0,14.141414141414142,E,0.16
114,0,14.141414141414142,I1,0.19
115,0,14.141414141414142,I2,0.05
116,0,14.141414141414142,I3,0.0
